CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
21359f5303c4        peer1.org1.example.com                        16.10%              51.13MiB / 7.237GiB   0.69%               14.5MB / 14MB       50.1MB / 14.5MB     12
792281940d0d        peer0.org1.example.com                        25.86%              52.41MiB / 7.237GiB   0.71%               27.3MB / 30MB       7.54MB / 14.5MB     13
96a31da47f12        couchdb1                                      56.01%              101.8MiB / 7.237GiB   1.37%               4.18MB / 7.28MB     63MB / 23.9MB       29
e6c3d04e54ee        orderer.example.com                           4.56%               20.42MiB / 7.237GiB   0.28%               3.71MB / 8.94MB     47.4MB / 10.4MB     11
1e4b47fe2bcf        couchdb                                       70.87%              102.4MiB / 7.237GiB   1.38%               6.45MB / 13.4MB     5.27MB / 23.9MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   22.18%              108.9MiB / 2GiB       5.32%               4.2MB / 3.58MB      50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   22.90%              98.41MiB / 2GiB       4.80%               8.6MB / 9.03MB      122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        28.65%              52.34MiB / 7.237GiB   0.71%               15.7MB / 15MB       50.2MB / 15.2MB     12
792281940d0d        peer0.org1.example.com                        25.23%              53.23MiB / 7.237GiB   0.72%               28.5MB / 31MB       7.57MB / 15.2MB     13
96a31da47f12        couchdb1                                      68.02%              102.2MiB / 7.237GiB   1.38%               4.54MB / 7.92MB     63MB / 25.5MB       29
e6c3d04e54ee        orderer.example.com                           0.38%               20.96MiB / 7.237GiB   0.28%               3.9MB / 9.45MB      47.4MB / 10.9MB     11
1e4b47fe2bcf        couchdb                                       71.16%              102.1MiB / 7.237GiB   1.38%               6.82MB / 14MB       5.27MB / 25.5MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   18.37%              109.3MiB / 2GiB       5.34%               4.61MB / 3.93MB     50.9MB / 12.3kB     23
